Incident ID,Date,Governorate,District,Area,Target,Main category,Sub-category,Min projectiles,Max projectiles,Civilian Casualties,Fatalities ,Woman fatalities,Child fatalities,Injured ,Woman injured,Child injured, Confirmed Time,Time of Day
96,22/02/2024,Hudaydah,Bajil,Al-Jabanah,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,2,0,0,0,0,0,0,0,17,Afternoon
97,22/02/2024,Hudaydah,Bajil,Al-Jabanah,Pro-Houthi Drone,Military_Security_Target,Other-Military,1,2,0,0,0,0,0,0,0,17,Afternoon
98,23/02/2024,Hudaydah,Al-Durayhimi,,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,2,0,0,0,0,0,0,0,21,Evening
99,23/02/2024,Hudaydah,Al-Salif,Ras Issa,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,3,0,0,0,0,0,0,0,17,Afternoon
100,24/02/2024,Sanaa,Bani Matar,Faj Attan,Missiles Brigade Camp,Military_Security_Target,Military Site,1,6,0,0,0,0,0,0,0,23,Night
101,24/02/2024,Capital,Al-Thawrah,Al-Nahdhah,Pesticide Factory,Economic_infrastructure,Private factory,1,3,2,0,0,0,2,0,0,23,Night
102,24/02/2024,Sanaa,Bani Hushaysh,Saraf,Khashm Al-Bakrah Military Camp,Military_Security_Target,Military Site,1,3,0,0,0,0,0,0,0,23,Night
103,24/02/2024,Hajja,Abs,Al-Jar,Farms,Economic_infrastructure,Farms,1,2,0,0,0,0,0,0,0,23,Night
104,24/02/2024,Sanaa,Hamdan,Jabal Uram,Pro-Houthi Position,Military_Security_Target,Forces,1,2,0,0,0,0,0,0,0,23,Night
105,24/02/2024,Taiz,Hayfan,,Telecommunications Network,Infrastructure,Communication,1,2,0,0,0,0,0,0,0,23,Night
106,24/02/2024,Taiz,Maqbanah,Shamir,Telecommunications Network,Infrastructure,Communication,1,1,8,1,0,0,7,0,0,23,Night
107,24/02/2024,Capital,Al-Sab'ein,Al-Nahdain,Al-Nahdain Military Camp,Military_Security_Target,Military Site,1,3,0,0,0,0,0,0,0,23,Night
108,26/02/2024,Hudaydah,Al-Salif,Ras Issa,Pro-Houthi Drone Boat,Military_Security_Target,Other-Military,1,3,0,0,0,0,0,0,0,17,Afternoon
109,26/02/2024,Hudaydah,Al-Salif,Ras Issa,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,2,0,0,0,0,0,0,0,18,Evening
110,27/02/2024,Hudaydah,Al-Luhaiyah,Labwan,Pro-Houthi Position,Military_Security_Target,Forces,1,2,0,0,0,0,0,0,0,23,Night
111,29/02/2024,Hudaydah,Al-Durayhimi,,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,2,0,0,0,0,0,0,0,18,Evening
112,29/02/2024,Hudaydah,Al-Salif,Ras Issa,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,2,0,0,0,0,0,0,0,18,Evening
113,01/03/2024,Hudaydah,Bajil,Al-Jabanah,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,2,0,0,0,0,0,0,0,12,Midday
114,04/03/2024,Saada,Baqim,,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,3,0,0,0,0,0,0,0,21,Evening
115,05/03/2024,Hudaydah,Al-Salif,Ras Issa,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,2,0,0,0,0,0,0,0,21,Evening
116,05/03/2024,Hudaydah,Bajil,Al-Jabanah,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,2,0,0,0,0,0,0,0,21,Evening
117,05/03/2024,Hudaydah,Al-Salif,Ras Issa,Pro-Houthi Drone,Military_Security_Target,Other-Military,1,1,0,0,0,0,0,0,0,21,Evening
118,05/03/2024,Hudaydah,Bajil,Al-Jabanah,Pro-Houthi Drone,Military_Security_Target,Other-Military,1,1,0,0,0,0,0,0,0,21,Evening
119,06/03/2024,Hudaydah,Al-Hawak,Al-Hudaydah Airport,Al-Hudaydah Airport,Infrastructure,Transport,1,2,0,0,0,0,0,0,0,19,Evening
120,07/03/2024,Hudaydah,Al-Hawak,Al-Hudaydah Airport,Al-Hudaydah Airport,Infrastructure,Transport,1,1,0,0,0,0,0,0,0,17,Afternoon
121,07/03/2024,Hudaydah,Bajil,Al-Jabanah,Pro-Houthi Drone,Military_Security_Target,Other-Military,1,1,0,0,0,0,0,0,0,17,Afternoon
122,08/03/2024,,,,Pro-Houthi Truck-Mounted Missile,Military_Security_Target,Other-Military,1,1,0,0,0,0,0,0,0,9,Morning
123,11/03/2024,Hudaydah,Al-Salif,Al-Arj,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,3,0,0,0,0,0,0,0,17,Afternoon
124,11/03/2024,Hudaydah,Bajil,Al-Jabanah,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,3,0,0,0,0,0,0,0,20,Evening
125,11/03/2024,Hudaydah,Al-Durayhimi,At Taif,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,2,0,0,0,0,0,0,0,20,Evening
126,11/03/2024,Hudaydah,Al-Salif,Ras Issa,Pro-Houthi Uncrewed Underwater Vessel ,Military_Security_Target,Other-Military,1,4,0,0,0,0,0,0,0,20,Evening
127,12/03/2024,Saada,Majz,Takhyah,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,5,0,0,0,0,0,0,0,23,Night
128,13/03/2024,Hudaydah,Al-Hawak,Al-Hudaydah Airport,Al-Hudaydah Airport,Infrastructure,Transport,1,4,0,0,0,0,0,0,0,17,Afternoon
129,14/03/2024,Hudaydah,Bait Al-Faqih,Al-Jah,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,4,0,0,0,0,0,0,0,16,Afternoon
130,14/03/2024,Hudaydah,Al-Tuhayat,Al-Fazah,Pro-Houthi Drone,Military_Security_Target,Other-Military,1,2,0,0,0,0,0,0,0,21,Evening
131,14/03/2024,Hudaydah,Al-Salif,Ras Issa,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,3,0,0,0,0,0,0,0,23,Night
132,14/03/2024,Hudaydah,Al-Hawak,Al-Hudaydah Airport,Al-Hudaydah Airport,Infrastructure,Transport,1,1,0,0,0,0,0,0,0,19,Evening
133,15/03/2024,Hajja,Abs,,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,2,0,0,0,0,0,0,0,1,Early-Morning
134,15/03/2024,Hajja,Abs,,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,1,0,0,0,0,0,0,0,2,Early-Morning
135,16/03/2024,Hudaydah,Al-Durayhimi,Al-Taif,Pro-Houthi Drone Boat,Military_Security_Target,Other-Military,1,4,0,0,0,0,0,0,0,23,Night
136,17/03/2024,Taiz,Al-Taiziyah,,Pro-Houthi Drone,Military_Security_Target,Other-Military,1,1,0,0,0,0,0,0,0,1,Early-Morning
137,18/03/2024,Hudaydah,Al-Tuhayat,Al-Fazah,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,4,0,0,0,0,0,0,0,19,Evening
138,18/03/2024,Hudaydah,Bajil,Al-Jabanah,Pro-Houthi Drone,Military_Security_Target,Other-Military,1,3,0,0,0,0,0,0,0,19,Evening
139,18/03/2024,Hudaydah,Bajil,Al-Jabanah,Pro-Houthi Weapons Storage Unit,Military_Security_Target,Weapon Storage,1,3,0,0,0,0,0,0,0,19,Evening
140,20/03/2024,Hudaydah,Al-Mina,Al-Katib,Pro-Houthi Drone Boat,Military_Security_Target,Other-Military,1,1,0,0,0,0,0,0,0,20,Evening
141,22/03/2024,Capital,Al-Wahdah,Faj Attan,Pro-Houthi Weapons Storage Unit,Military_Security_Target,Weapon Storage,1,4,0,0,0,0,0,0,0,23,Night
142,22/03/2024,Capital,Al-Sab'ein,Al-Nahdain,Pro-Houthi Weapons Storage Unit,Military_Security_Target,Weapon Storage,1,2,0,0,0,0,0,0,0,23,Night
143,22/03/2024,Hudaydah,Al-Munirah,,Pro-Houthi Drone,Military_Security_Target,Other-Military,1,5,0,0,0,0,0,0,0,24,Night
144,22/03/2024,Hudaydah,Al-Dhuha,Al-Kadan,Pro-Houthi Drone,Military_Security_Target,Other-Military,1,2,0,0,0,0,0,0,0,12,Midday
145,22/03/2024,Sanaa,Sanhan,Jarban,Pro-Houthi Weapons Storage Unit,Military_Security_Target,Weapon Storage,1,3,0,0,0,0,0,0,0,23,Night
146,27/03/2024,Saada,Baqim,Al-Ghawal Al-Qutaynat,Unknown,Unknown,Unknown - Frontline area,1,1,0,0,0,0,0,0,0,15,Afternoon
147,30/03/2024,,,,Pro-Houthi Drone,Military_Security_Target,Other-Military,1,1,0,0,0,0,0,0,0,8,Morning
148,01/04/2024,Hudaydah,Al-Durayhimi,Al-Taif,Pro-Houthi Drone Boat,Military_Security_Target,Other-Military,1,1,0,0,0,0,0,0,0,16,Afternoon
149,03/04/2024,,,,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,1,0,0,0,0,0,0,0,Unknown,Unknown
150,04/04/2024,,,,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,1,0,0,0,0,0,0,0,Unknown,Unknown
151,06/04/2024,,,,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,1,0,0,0,0,0,0,0,Unknown,Unknown
152,08/04/2024,Hudaydah,Al-Hawak,Manzar,Civilian's House,Civilian,Residential Area,1,1,1,0,0,0,1,0,0,14,Midday
153,10/04/2024,Hudaydah,Bajil,Al-Jabanah,Pro-Houthi Drone,Military_Security_Target,Other-Military,1,4,0,0,0,0,0,0,0,20,Evening
