Incident ID,Type of Weapons,Date,Governorate,District,Area,Actor 1 / Country,Target,Main category,Sub-category,Min projectiles,Max projectiles,Civilian Casualties,Fatalities ,Woman fatalities,Child fatalities,Injured ,Woman injured,Child injured, Confirmed Time,Time of Day,,
1,Airstrike,12/01/2024,Hudaydah,Al-Hawak,Al-Hudaydah Airport,Mutual US\UK,Al-Hudaydah Airport,Infrastructure,Transport,1,2,0,0,0,0,0,0,0,2,Early-Morning,,
2,Airstrike,12/01/2024,Hajja,Abs,,Mutual US\UK,Abs Airport,Infrastructure,Transport,1,2,0,0,0,0,0,0,0,3,Early-Morning,,
3,Airstrike,12/01/2024,Taiz,Al-Taiziyah,Al-Janad,Mutual US\UK,Taiz Airport,Infrastructure,Transport,1,2,0,0,0,0,0,0,0,3,Early-Morning,,
4,Airstrike,12/01/2024,Capital,Bani Al-Harith,Ar Rahabah,Mutual US\UK,Al-Daylami Air Base,Military_Security_Target,Military Site,1,4,0,0,0,0,0,0,0,2,Early-Morning,,
5,Airstrike,12/01/2024,Saada,Sa'ada,Kahlan,Mutual US\UK,Kahlan Military Camp,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,3,Early-Morning,,
6,Airstrike,12/01/2024,Saada,Majz,Jabal Sama,Mutual US\UK,Unknown,Unknown,Unknown - Non-frontline area,1,2,0,0,0,0,0,0,0,4,Early-Morning,,
7,Airstrike,12/01/2024,Saada,Majz,Takhyah,Mutual US\UK,Unknown,Unknown,Unknown - Non-frontline area,1,2,0,0,0,0,0,0,0,4,Early-Morning,,
8,Airstrike,12/01/2024,Hudaydah,Zabid,,Mutual US\UK,Unknown,Unknown,Unknown - Frontline area,1,2,0,0,0,0,0,0,0,3,Early-Morning,,
9,Airstrike,12/01/2024,Taiz,Al-Taiziyah,Al-Janad,Mutual US\UK,22nd Armoured Brigade,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,3,Early-Morning,,
10,Airstrike,12/01/2024,Hudaydah,Al-Hawak,Al-Hudaydah Airport,Mutual US\UK,Al-Hudaydah Airport,Infrastructure,Transport,1,2,0,0,0,0,0,0,0,6,Morning,,
11,Naval Missile,13/01/2024,Capital,Bani Al-Harith,Ar Rahabah,US,Al-Daylami Air Base,Military_Security_Target,Military Site,1,1,0,0,0,0,0,0,0,3,Early-Morning,,
12,Airstrike,13/01/2024,Hudaydah,Al-Mina,Al-Katib,US,Naval Base,Military_Security_Target,Military Site,1,1,0,0,0,0,0,0,0,18,Evening,,
13,Airstrike,14/01/2024,Hudaydah,Alluheyah,Jabal Juda,Mutual US\UK,Unknown,Unknown,Unknown - Non-frontline area,1,2,0,0,0,0,0,0,0,19,Evening,,
14,Airstrike,16/01/2024,Bayda,Mukayras,,Mutual US\UK,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,3,0,0,0,0,0,0,0,13,Midday,,
15,Airstrike,17/01/2024,Saada,Majz,Takhyah,Mutual US\UK,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,2,0,0,0,0,0,0,0,23,Night,,
16,Airstrike,17/01/2024,Dhamar,Dhamar City,,Mutual US\UK,Military Police Camp,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,23,Night,,
17,Airstrike,17/01/2024,Hudaydah,Al-Munirah,,Mutual US\UK,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,2,0,0,0,0,0,0,0,23,Night,,
18,Airstrike,17/01/2024,Taiz,Al-Taiziyah,,Mutual US\UK,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,2,0,0,0,0,0,0,0,23,Night,,
19,Airstrike,17/01/2024,Bayda,Al-Sawma'ah,,Mutual US\UK,Technical Institute,Educational_Facility,Institute,1,2,0,0,0,0,0,0,0,23,Night,,
20,Airstrike,17/01/2024,Saada,Majz,Jabal Sama,Mutual US\UK,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,2,0,0,0,0,0,0,0,23,Night,,
21,Naval Missile,18/01/2024,Hudaydah,,,US,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,2,0,0,0,0,0,0,0,15,Afternoon,,
22,Airstrike,19/01/2024,Hudaydah,Bajil,Al-Jabanah,Mutual US\UK,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,2,0,0,0,0,0,0,0,18,Evening,,
23,Airstrike,20/01/2024,,,,Mutual US\UK,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,2,0,0,0,0,0,0,0,4,Early-Morning,,
24,Airstrike,22/01/2024,Sanaa,Bani Hushaysh,Saraf,Mutual US\UK,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,2,0,0,0,0,0,0,0,23,Night,,
25,Airstrike,22/01/2024,Bayda,Rada'a,,Mutual US\UK,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,1,0,0,0,0,0,0,0,23,Night,,
26,Airstrike,22/01/2024,Capital,Bani Al-Harith,Ar Rahabah,Mutual US\UK,Al-Daylami Air Base,Military_Security_Target,Military Site,1,4,0,0,0,0,0,0,0,23,Night,,
27,Airstrike,22/01/2024,Hudaydah,Al-Hawak,Kilo 16,Mutual US\UK,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,3,0,0,0,0,0,0,0,23,Night,,
28,Airstrike,22/01/2024,Taiz,Al-Taiziyah,Al-Janad,Mutual US\UK,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,1,0,0,0,0,0,0,0,23,Night,,
29,Airstrike,22/01/2024,Taiz,Maqbanah,Al-Barah,Mutual US\UK,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,1,0,0,0,0,0,0,0,23,Night,,
30,Airstrike,22/01/2024,Capital,Al-Sab'ein,Al-Hafa,Mutual US\UK,Al-Hafa Military Camp,Military_Security_Target,Military Site,1,4,0,0,0,0,0,0,0,23,Night,,
31,Airstrike,24/01/2024,,,,Mutual US\UK,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,2,0,0,0,0,0,0,0,2,Early-Morning,,
32,Airstrike,27/01/2024,Hudaydah,Al-Salif,Ras Issa,US,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,2,0,0,0,0,0,0,0,3,Early-Morning,,
33,Airstrike,31/01/2024,Saada,Sa'ada,Sa'ada City,US,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,2,0,0,0,0,0,0,0,15,Afternoon,,
34,Airstrike,01/02/2024,Hudaydah,Bajil,Al-Jabanah,US,Pro-Houthi Drone,Military_Security_Target,Other-Military,1,2,0,0,0,0,0,0,0,1,Early-Morning,,
35,Airstrike,02/02/2024,Hajja,Abs,Al-Jar,US,Farm,Economic_infrastructure,Farms,1,3,1,0,0,0,1,0,0,16,Afternoon,,
36,Airstrike,02/02/2024,Hajja,Abs,Al-Jar,US,Pro-Houthi Drone,Military_Security_Target,Military Site,1,4,0,0,0,0,0,0,0,16,Afternoon,,
37,Airstrike,03/02/2024,Hudaydah,Al-Durayhimi,,US,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,1,0,0,0,0,0,0,0,19,Evening,,
38,Airstrike,03/02/2024,Bayda,Al-Sawadiyah,,Mutual US\UK,Pro-Houthi Position,Military_Security_Target,Forces,1,4,0,0,0,0,0,0,0,24,Night,,
39,Airstrike,03/02/2024,Taiz,Hayfan,,Mutual US\UK,Telecommunications Network,Infrastructure,Communication,1,3,0,0,0,0,0,0,0,23,Night,,
40,Airstrike,03/02/2024,Hudaydah,Alluheyah,Jabal Juda,Mutual US\UK,Pro-Houthi Position,Military_Security_Target,Forces,1,5,0,0,0,0,0,0,0,24,Night,,
41,Airstrike,03/02/2024,Hudaydah,Alluheyah,,US,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,1,0,0,0,0,0,0,0,19,Evening,,
42,Airstrike,03/02/2024,Hajja,Abs,Al-Jar,Mutual US\UK,Pro-Houthi Position,Military_Security_Target,Forces,1,7,0,0,0,0,0,0,0,24,Night,,
43,Airstrike,03/02/2024,Saada,Sa'ada,Sa'ada City,Mutual US\UK,Pro-Houthi Position,Military_Security_Target,Forces,1,3,0,0,0,0,0,0,0,4,Early-Morning,,
44,Airstrike,03/02/2024,Bayda,Rada'a,,Mutual US\UK,Pro-Houthi Position,Military_Security_Target,Forces,1,3,0,0,0,0,0,0,0,24,Night,,
45,Airstrike,03/02/2024,Capital,Al-Sab'ein,An Nahdayn,Mutual US\UK,Al-Nahdain Military Camp,Military_Security_Target,Military Site,1,6,0,0,0,0,0,0,0,23,Night,,
46,Airstrike,03/02/2024,Hudaydah,Al-Salif,,Mutual US\UK,Pro-Houthi Position,Military_Security_Target,Forces,1,4,0,0,0,0,0,0,0,24,Night,,
47,Airstrike,03/02/2024,Sanaa,Bani Hushaysh,,US,Military Site,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,24,Night,,
48,Airstrike,03/02/2024,Sanaa,Bani Matar,Faj Attan,US,Military Site,Military_Security_Target,Military Site,1,5,0,0,0,0,0,0,0,23,Night,,
49,Airstrike,03/02/2024,Taiz,Maqbanah,Al-Barah,Mutual US\UK,Telecommunications Network,Infrastructure,Communication,1,2,0,0,0,0,0,0,0,23,Night,,
50,Airstrike,03/02/2024,Taiz,Hayfan,,Mutual US\UK,Pro-Houthi Position,Military_Security_Target,Forces,1,3,0,0,0,0,0,0,0,23,Night,,
51,Airstrike,03/02/2024,Taiz,Maqbanah,Al-Barah,Mutual US\UK,Pro-Houthi Position,Military_Security_Target,Forces,1,3,0,0,0,0,0,0,0,23,Night,,
52,Airstrike,04/02/2024,Hudaydah,Al-Zaydiyah,,US,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,3,0,0,0,0,0,0,0,10,Early-Morning,,
53,Airstrike,04/02/2024,Hudaydah,Al-Salif,Ras Issa,US,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,8,0,0,0,0,0,0,0,24,Night,,
54,Airstrike,04/02/2024,Saada,Sa'ada,Sa'ada City,US,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,1,0,0,0,0,0,0,0,5,Early-Morning,,
55,Airstrike,04/02/2024,Saada,Sa'ada,Sa'ada City,US,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,3,0,0,0,0,0,0,0,24,Night,,
56,Airstrike,05/02/2024,Hudaydah,Al-Mina,Al-Katib,US,Pro-Houthi Drone Boat,Military_Security_Target,Other-Military,1,1,0,0,0,0,0,0,0,15,Afternoon,,
